Designator,Mid X,Mid Y,Rotation,Layer
C1,163.99218,-95.25,180.0,top
C2,179.31218,-100.33,90.0,top
C3,162.80218,-100.41,270.0,top
C4,174.15218,-107.95,180.0,top
C5,162.80218,-90.17,180.0,top
C6,181.89218,-90.17,0.0,top
C7,172.96218,-81.28,180.0,top
C8,174.23218,-87.63,180.0,top
C9,116.88,-58.42,0.0,top
D1,162.56,-58.42,180.0,top
J1,159.93618,-44.7548,180.0,top
J2,61.775,-40.259,90.0,top
J3,88.9,-40.513,90.0,top
J4,181.48808,-44.7548,180.0,top
J5,189.23,-70.93,0.0,top
R1,156.45218,-97.79,270.0,top
R10,115.824,-88.9,180.0,top
R11,151.13,-89.408,180.0,top
R12,154.94,-55.88,0.0,top
R13,162.56,-74.93,180.0,top
R14,148.59,-46.99,270.0,top
R15,176.53,-55.88,270.0,top
R16,186.69,-55.88,270.0,top
R2,175.50218,-91.44,180.0,top
R3,158.99218,-105.41,90.0,top
R4,183.12218,-102.87,90.0,top
R5,188.20218,-95.25,270.0,top
R6,152.64218,-97.79,270.0,top
R7,116.84,-46.99,270.0,top
R8,62.484,-88.9,180.0,top
R9,89.408,-88.9,180.0,top
RV1,131.892,-40.99,270.0,bottom
RV2,131.892,-67.54,270.0,bottom
RV3,104.916,-40.99,270.0,bottom
RV4,104.916,-67.54,270.0,bottom
RV5,78.044,-40.99,270.0,bottom
RV6,78.044,-67.54,270.0,bottom
RV7,50.867,-40.99,270.0,bottom
RV8,50.867,-67.54,270.0,bottom
SW1,57.002,-99.7753,0.0,bottom
SW2,84.179,-99.7753,0.0,bottom
SW3,111.051,-99.7753,0.0,bottom
SW4,138.027,-99.7753,0.0,bottom
U1,134.366,-61.595,0.0,top
U2,104.14,-55.88,0.0,top
U3,167.625,-95.25,0.0,top
U4,62.992,-64.516,0.0,top
U5,162.56,-62.23,270.0,top
