Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Rect_L7.0mm_W2.0mm_P5.00mm,2,1nF,
"C3, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,470pF,
"C5, C6, C7, C9",CP_Radial_D5.0mm_P2.50mm,4,10uF,
C8,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,100nF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,MIDI_DIN5,1,MIDI IN,
"J2, J3",AudioJackMono,2,AudioJack2,
J4,MIDI_DIN5,1,MIDI OUT,
J5,NS-Tech_Grove_1x04_P2mm_Vertical,1,I2C,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,7.5k,
"R10, R11, R12, R15, R16, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,7,220,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4k7,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470,
"R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,100k,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,8,10k,
"SW1, SW2, SW3, SW4",Push_LED,4,S1,
U1,RPi_Pico_SMD_TH,1,Pico,
U2,DIP-8_W7.62mm_LongPads,1,PT8211,
U3,DIP-8_W7.62mm_LongPads,1,MCP6002,
U4,DIP-16_W7.62mm_LongPads,1,4051,
U5,DIP-8_W7.62mm_LongPads,1,6N138,
